p_int,rh_int,t_int,ts
106.933,10.89,29.41,1550878126.1453543
106.931,10.89,29.396,1550878136.6818974
106.937,10.88,29.389,1550878147.2036102
106.94,10.88,29.376,1550878157.7397327
106.946,10.88,29.364,1550878168.2881038
106.947,10.88,29.378,1550878178.7780178
106.952,10.88,29.369,1550878189.3097594
106.954,10.87,29.358,1550878199.8318374
106.958,10.87,29.357,1550878210.3321111
106.966,10.87,29.35,1550878220.8604076
106.97,10.87,29.354,1550878231.3652024
106.985,10.87,29.365,1550878241.8480866
106.994,10.87,29.355,1550878252.3821921
107.001,10.87,29.355,1550878262.918777
107.014,10.87,29.362,1550878273.4698553
107.032,10.87,29.365,1550878283.9657016
107.043,10.87,29.369,1550878294.452666
107.057,10.87,29.366,1550878304.983104
107.069,10.87,29.377,1550878315.4843645
107.086,10.87,29.376,1550878326.0077662
107.09,10.87,29.385,1550878336.543016
107.102,10.86,29.406,1550878347.0383654
107.118,10.87,29.402,1550878357.5886106
107.126,10.86,29.408,1550878368.0879097
107.141,10.87,29.411,1550878378.60345
107.153,10.87,29.417,1550878389.1371384
107.166,10.86,29.438,1550878399.630944
107.178,10.87,29.432,1550878410.1564126
107.192,10.87,29.453,1550878420.6461945
107.207,10.86,29.445,1550878431.1835444
107.222,10.87,29.46,1550878441.7149277
107.239,10.87,29.472,1550878452.2780688
107.264,10.87,29.491,1550878462.7741537
107.278,10.87,29.497,1550878473.3081415
107.302,10.87,29.505,1550878483.8599062
107.319,10.87,29.522,1550878494.380482
107.34,10.87,29.532,1550878504.9085774
107.355,10.87,29.542,1550878515.4395504
107.375,10.87,29.565,1550878525.926097
107.391,10.87,29.566,1550878536.4442651
107.418,10.87,29.587,1550878546.9690528
107.434,10.87,29.595,1550878557.502339
107.456,10.87,29.603,1550878568.049278
107.477,10.87,29.625,1550878578.58295
107.502,10.88,29.654,1550878589.0851078
107.528,10.88,29.673,1550878599.5765169
107.549,10.88,29.689,1550878610.0709865
107.58,10.88,29.702,1550878620.5766523
107.606,10.89,29.719,1550878631.0901878
107.634,10.89,29.746,1550878641.598054
107.664,10.89,29.768,1550878652.0964808
107.696,10.89,29.784,1550878662.6163075
107.723,10.9,29.797,1550878673.1469655
107.755,10.91,29.831,1550878683.6717217
107.788,10.91,29.855,1550878694.2113423
107.822,10.91,29.892,1550878704.7086015
107.858,10.92,29.917,1550878715.2246656
107.891,10.92,29.948,1550878725.7483697
107.924,10.93,29.984,1550878736.2518861
107.96,10.93,30.008,1550878746.7952332
107.997,10.94,30.042,1550878757.3281317
108.027,10.94,30.073,1550878767.8564858
108.061,10.96,30.107,1550878778.3868816
108.096,10.97,30.15,1550878788.90463
108.132,10.98,30.188,1550878799.423978
108.167,10.98,30.222,1550878809.9594445
108.205,10.99,30.273,1550878820.4781396
108.242,11.0,30.311,1550878830.9941652
108.278,11.02,30.367,1550878841.4926298
108.313,11.03,30.401,1550878852.0247881
108.349,11.05,30.424,1550878862.6070476
108.384,11.06,30.479,1550878873.1558778
108.419,11.07,30.537,1550878883.648967
108.458,11.09,30.581,1550878894.172648
108.493,11.11,30.638,1550878904.6994607
108.53,11.12,30.698,1550878915.2280822
108.57,11.14,30.745,1550878925.757965
108.604,11.16,30.789,1550878936.2971048
108.639,11.18,30.858,1550878946.7893758
108.677,11.2,30.9,1550878957.3157845
108.716,11.21,30.956,1550878967.8459952
108.756,11.24,31.018,1550878978.3633244
108.796,11.25,31.073,1550878988.8503706
108.831,11.27,31.13,1550878999.3322809
108.864,11.29,31.186,1550879009.8460388
108.905,11.31,31.25,1550879020.360212
108.934,11.34,31.315,1550879030.8765583
108.974,11.36,31.384,1550879041.3834283
109.011,11.38,31.451,1550879051.8905568
109.046,11.4,31.503,1550879062.4197643
109.086,11.42,31.575,1550879072.9425507
109.124,11.43,31.649,1550879083.471882
109.158,11.45,31.705,1550879094.0158844
109.2,11.48,31.784,1550879104.5410411
109.234,11.5,31.843,1550879115.0839345
109.274,11.52,31.92,1550879125.6158733
109.312,11.53,31.99,1550879136.112704
109.346,11.56,32.058,1550879146.6468618
109.379,11.58,32.123,1550879157.1709657
