p_int,rh_int,t_int,ts
106.906,10.45,29.54,1550805330.9505715
106.926,10.63,29.575,1550805341.442901
106.929,10.65,29.591,1550805351.9738524
106.935,10.66,29.619,1550805362.492565
106.937,10.65,29.631,1550805373.030101
106.945,10.64,29.662,1550805383.5470462
106.951,10.62,29.687,1550805394.0221448
106.957,10.61,29.695,1550805404.53952
106.962,10.59,29.714,1550805415.055519
106.969,10.59,29.725,1550805425.5892215
106.976,10.57,29.75,1550805436.0829642
106.98,10.56,29.769,1550805446.5897243
106.984,10.54,29.776,1550805457.1213024
106.983,10.53,29.784,1550805467.630867
106.992,10.52,29.787,1550805478.1580782
106.996,10.5,29.794,1550805488.6813328
107.0,10.5,29.807,1550805499.209684
107.001,10.48,29.822,1550805509.7408414
107.009,10.47,29.834,1550805520.2725782
107.012,10.45,29.853,1550805530.8004565
107.013,10.44,29.852,1550805541.3313441
107.011,10.43,29.876,1550805551.8214004
107.016,10.42,29.882,1550805562.35943
107.021,10.41,29.895,1550805572.8514533
107.018,10.4,29.898,1550805583.3743227
107.024,10.38,29.905,1550805593.886698
107.021,10.37,29.909,1550805604.4104152
107.021,10.36,29.922,1550805614.960099
107.023,10.36,29.937,1550805625.478025
107.025,10.35,29.938,1550805636.0094154
107.023,10.33,29.947,1550805646.535657
107.026,10.33,29.969,1550805657.0409389
107.024,10.32,29.967,1550805667.5707445
107.028,10.31,29.994,1550805678.0506115
107.027,10.3,30.003,1550805688.5555074
107.028,10.29,30.012,1550805699.0555744
107.025,10.29,30.029,1550805709.5404596
107.026,10.28,30.035,1550805720.0623515
107.025,10.26,30.035,1550805730.6063962
107.023,10.26,30.03,1550805741.1470623
107.021,10.25,30.043,1550805751.6805434
107.022,10.25,30.058,1550805762.2185879
107.021,10.24,30.075,1550805772.746318
107.023,10.23,30.095,1550805783.2826247
107.022,10.22,30.106,1550805793.7887976
107.022,10.21,30.111,1550805804.303076
107.023,10.2,30.12,1550805814.822429
107.025,10.2,30.131,1550805825.3427866
107.025,10.18,30.145,1550805835.8333223
107.027,10.18,30.136,1550805846.3655486
