alt,lat,long,ts,ts_gps
19.16,21.886022589,-159.52757858,1478195894.5342786,2019-02-23T17:15:25.000Z
19.16,21.886022589,-159.52757858,1478195896.442288,2019-02-23T17:15:25.000Z
19.16,21.886022589,-159.52757858,1478195896.5548162,2019-02-23T17:15:26.000Z
19.16,21.886022589,-159.52757858,1478195897.0056584,2019-02-23T17:15:27.000Z
19.16,21.886022589,-159.52757858,1478195897.6323287,2019-02-23T17:15:28.000Z
19.16,21.886022589,-159.52757858,1478195898.8701236,2019-02-23T17:15:28.000Z
19.16,21.886022589,-159.52757858,1478195898.9826887,2019-02-23T17:15:29.000Z
19.16,21.886022589,-159.52757858,1478195899.531015,2019-02-23T17:15:30.000Z
19.858,21.886029792,-159.527569514,1478195900.5318873,2019-02-23T17:15:31.000Z
19.858,21.886029792,-159.527569514,1478195901.8686304,2019-02-23T17:15:31.000Z
18.988,21.886032946,-159.52756613,1478195901.9810774,2019-02-23T17:15:32.000Z
18.988,21.886032946,-159.52756613,1478195902.606739,2019-02-23T17:15:33.000Z
18.988,21.886032946,-159.52756613,1478195903.5314233,2019-02-23T17:15:34.000Z
18.988,21.886032946,-159.52756613,1478195904.8863707,2019-02-23T17:15:34.000Z
18.988,21.886032946,-159.52756613,1478195904.9989324,2019-02-23T17:15:35.000Z
18.988,21.886032946,-159.52756613,1478195905.5313132,2019-02-23T17:15:36.000Z
19.313,21.886031768,-159.527557065,1478195906.5457613,2019-02-23T17:15:37.000Z
